stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,platform_code,ObjectId,GlobalID,x,y
U18006Z82,"Znojmo, Průmyslová, u lávky",48.852158,16.060239,800,0,U18006N2460,2\,,5952,19ca8a77-4dcd-4b5c-bc63-fb6af6da3f97,1787817.62749827,6249812.82989669
U18421Z2,Šafov,48.866918,15.734799,847,0,U18421N2595,2\,,5953,41f5df90-d71f-437d-9cec-90739d2aec0f,1751589.81241451,6252310.25748088
U16338Z1,"Dambořice, Šerůčky",49.028478,16.93612,630,0,U16338N2328,2\,,5954,f0ad306a-2f37-4096-9ca8-08bf24447ee3,1885320.25441378,6279694.89693876
U17202Z11,"Hostěnice, chaty",49.241877,16.764803,720,0,U17202N1160,2\,,5955,f1cd5fde-4207-40a3-9b33-5aa43850fb38,1866249.33320955,6316002.96230365
U18007Z82,"Znojmo, Průmyslová, KERAMIKA",48.850067,16.056775,800,0,U18007N2461,2\,,5956,bb6da623-0c08-4ad9-b9e9-a27486e0670e,1787432.01678217,6249459.0872006
U18417Z2,Starý Petřín,48.890255,15.734785,847,0,U18417N2596,2\,,5957,99c3fff7-0f36-484d-8a5c-b56f27be048f,1751588.25394164,6256260.43770951
U16339Z1,"Dambořice, Loučka",49.034688,16.924398,630,0,U16339N2327,2\,,5958,dfb2fc94-f5fd-4ea6-b62f-1e9ee1e9ee47,1884015.3673427,6280749.27276679
U17204Z52,"Hostěnice, obecní úřad",49.239232,16.771882,720,0,U17204N1161,2\,,5959,8d7a19c1-96c1-4cda-8c2d-200ca4d61ff7,1867037.36388487,6315551.97902298
U18008Z82,"Znojmo, Vídeňská, Na Rejdišti",48.849969,16.054989,800,0,U18008N2462,2\,,5960,28d6349e-4cda-4e7e-9e87-302d3ef0a733,1787233.20017161,6249442.50851747
U18418Z2,"Starý Petřín, Jazovice",48.897913,15.743677,847,0,U18418N2597,2\,,5961,32b489e9-fc43-4152-a5d4-756ad2f1bbc9,1752578.10685377,6257557.08491827
U16833Z1,"Kelčany, u sklepů",49.012553,17.176447,687,0,U16833N2296,2\,,5962,fb36778d-e368-4509-8739-84fc4a963bc8,1912073.33367765,6276991.64394353
U17205Z2,"Hostěnice, rozc.Červený vrch",49.232777,16.795863,720,0,U17205N2367,2\,,5963,1e43e62d-8c31-447c-acb7-c1af0ea63656,1869706.91659358,6314451.47659951
